"id";"word";"phrase";"gloss"
"a#01160448";" gravidus tumidus turgidus ";"";""
"a#01162278";" acutus altus arduus editus excelsus procerus sublimis sublimus ";"";""
"a#01174299";" fidelis firmus verax veridicus verus ";"";""
"a#01177991";" desperatus perditus ";"";""
"a#01181295";" consolabilis ";"";""
"a#01183055";" animatus ";"";""
"a#01184641";" adrectarius arduus directus erectus innocens ";"";""
"a#01203810";" autumnus ";"";""
"a#01204132";" brumalis hibernalis hibernus hiemalis ";"";""
"a#01209385";" inhumanus ";"";""
"a#01212141";" belualis beluilis beluinus beluus bestialis stolidus ";"";""
"a#01216853";" esuriens famelicus ";"";""
"a#01217685";" aridus sitiens ";"";""
"a#01217941";" celer ";"";""
"a#01218416";" celer concitus praeceps ";"";""
"a#01221723";" volucer ";"";""
"a#01228148";" parvus ";"";""
"a#01237791";" aditialis ";"";""
"a#01258382";" desertus ";"";""
"a#01267106";" candidus innocens innocuus insons ";"";""
"a#01268094";" noxius obnoxius sons ";"";""
"a#01281024";" intellegens ";"";""
"a#01283805";" cognobilis ";"";""
"a#01308059";" laetus libens ";"";""
"a#01308632";" aeger maestus tristis ";"";""
"a#01310938";" aeger tristis ";"";""
"a#01315243";" consucidus lactens madidus sucidus suculentus ";"";""
"a#01318368";" almus bonus gratiosus humanus ";"";""
"a#01320533";" cognitus gnarus ";"";""
"a#01321211";" celeber celebratus clarus famosus gloriosus illustris inclutus insignis notus ";"";""
"a#01322204";" clancularius incognitus ";"";""
"a#01328712";" amplus grandis grossus magnus multus ";"";""
"a#01336443";" brevis deminutus exiguus macer minutus parvus paulus tenuis ";"";""
"a#01339871";" concessus fandus ";"";""
"a#01344765";" legalis ";"";""
"a#01349983";" genuinus innatus nativus naturalis ";"";""
"a#01350601";" legitimus ";"";""
"a#01351390";" nothus ";"";""
"a#01351825";" genuinus innatus nativus naturalis ";"";""
"a#01354054";" alius dispar dissimilis diversus inconveniens ";"";""
"a#01354496";" dissimilis inconveniens ";"";""
"a#01354638";" aequus par parilis ";"";""
"a#01354886";" dispar dissimilis diversus impar inaequalis ";"";""
"a#01356660";" credibilis ";"";""
"a#01358077";" circumcisus ";"";""
"a#01358862";" immoderatus infinitus ";"";""
"a#01360429";" obliquus ";"";""
"a#01373247";" logicus ";"";""
"a#01385952";" breviculus brevis circumcisus compendiosus exiguus ";"";""
"a#01400194";" invisus odibilis ";"";""
"a#01401505";" amatus ";"";""
"a#01403478";" amans clemens ";"";""
"a#01407688";" ater infaustus infelix inominatus ";"";""
"a#01416261";" mas masculus ";"";""
"a#01417117";" femineus femininus muliebris ";"";""
"a#01420958";" caelebs viduus ";"";""
"a#01423727";" femineus femininus muliebris ";"";""
"a#01429895";" maturus ";"";""
"a#01431319";" maturus mitis tempestivus ";"";""
"a#01431533";" annosus antiquus canus longaevus senectus vetus ";"";""
"a#01431944";" acerbus crudus immaturus tener viridis ";"";""
"a#01433488";" praecoquis praecoquus praecox praematurus ";"";""
"a#01436246";" significans ";"";""
"a#01438368";" rationalis ";"";""
"a#01438500";" immensus ";"";""
"a#01441884";" argutus canorus numerosus vocalis ";"";""
"a#01445129";" clemens misericors ";"";""
"a#01446038";" capitalis letalis mortalis ";"";""
"a#01447403";" intentus ";"";""
"a#01454970";" paganus togatus ";"";""
"a#01459801";" fragilis fragosus ";"";""
"a#01459945";" agitabilis mobilis ";"";""
